University Name,Acceptance Rate,Average SAT,Domain
American University,64,1360,american.edu
Auburn University,71,1260,auburn.edu
Baylor University,57,1255,baylor.edu
Binghamton University,44,1390,binghamton.edu
Boston College,19,1475,bc.edu
Boston University,19,1440,bu.edu
Brandeis University,39,1450,brandeis.edu
Brigham Young University,59,1330,byu.edu
Brown University,6,1515,brown.edu
California Institute of Technology,4,1555,caltech.edu
Carnegie Mellon University,14,1520,cmu.edu
Case Western Reserve University,30,1470,case.edu
Catholic University of America,86,1255,cua.edu
Clark University,48,1310,clarku.edu
Clemson University,49,1320,clemson.edu
Colorado School of Mines,57,1390,mines.edu
Columbia University,6,1515,columbia.edu
Cornell University,9,1505,cornell.edu
Dartmouth College,6,1500,dartmouth.edu
Drexel University,83,1310,drexel.edu
Duke University,6,1525,duke.edu
Emory University,13,1480,emory.edu
George Washington University,50,1400,gwu.edu
Georgetown University,12,1480,georgetown.edu
Georgia Institute of Technology,18,1450,gatech.edu
Harvard University,4,1530,harvard.edu
Howard University,35,1185,howard.edu
Indiana University,85,1270,iu.edu
Johns Hopkins University,8,1540,jhu.edu
Lehigh University,46,1407,lehigh.edu
Loyola University of Chicago,77,1260,luc.edu
Marquette University,86,1270,marquette.edu
Massachusetts Institute of Technology,4,1545,mit.edu
Miami University of Ohio,89,1265,muohio.edu
New York University,13,1510,nyu.edu
North Carolina State University,47,1355,ncsu.edu
Northeastern University,18,1490,northeastern.edu
Northwestern University,7,1510,northwestern.edu
Ohio State University,57,1345,osu.edu
Ohio University,89,1180,ohio.edu
Pacific University,79,1250,pacificu.edu
Pennsylvania State University,58,1300,psu.edu
Pepperdine University,53,1350,pepperdine.edu
Princeton University,4,1515,princeton.edu
Purdue University,69,1310,purdue.edu
Rensselaer Polytechnic Institute,53,1440,rpi.edu
Rice University,9,1530,rice.edu
Rochester Institute of Technology,71,1360,rit.edu
Rutgers University,68,1355,rutgers.edu
Saint Louis University,70,1265,slu.edu
San Diego State University,38,1225,sdsu.edu
Southern Methodist University,53,1425,smu.edu
Stanford University,4,1520,stanford.edu
Stevens Institute of Technology,53,1440,stevens.edu
Stony Brook University,48,1390,stonybrook.edu
Syracuse University,59,1310,syr.edu
Texas A&M University,64,1260,tamu.edu
Texas Christian University,54,1240,tcu.edu
Tufts University,11,1495,tufts.edu
Tulane University,10,1435,tulane.edu
UCLA,11,1405,ucla.edu
University at Buffalo,70,1270,buffalo.edu
University of Alabama,79,1220,ua.edu
University of Arizona,87,1245,arizona.edu
University of California Berkeley,15,1410,berkeley.edu
University of California Davis,49,1270,ucdavis.edu
University of California Irvine,29,1332,uci.edu
University of California Riverside,66,1175,ucr.edu
University of California San Diego,34,1370,ucsd.edu
University of California Santa Barbara,29,1355,ucsb.edu
University of California Santa Cruz,59,1260,ucsc.edu
University of Central Florida,36,1260,ucf.edu
University of Chicago,6,1545,uchicago.edu
University of Cincinnati,85,1250,uc.edu
University of Colorado,80,1280,colorado.edu
University of Connecticut,56,1330,uconn.edu
University of Dayton,81,1230,udayton.edu
University of Delaware,70,1260,udel.edu
University of Denver,64,1295,du.edu
University of Florida,30,1385,ufl.edu
University of Illinois,60,1430,illinois.edu
University of Iowa,86,1240,uiowa.edu
University of Kansas,92,1210,ku.edu
University of Kentucky,94,1206,kentucky.edu
University of Maryland,52,1420,umd.edu
University of Massachusetts Amherst,66,1355,umass.edu
University of Miami,28,1380,miami.edu
University of Michigan,20,1445,umich.edu
University of Minnesota,73,1400,umn.edu
University of Mississippi,90,1125,olemiss.edu
University of Missouri,77,1240,missouri.edu
University of Nebraska,81,1205,nebraska.edu
University of New Hampshire,87,1205,unh.edu
University of North Carolina at Chapel Hill,19,1415,unc.edu
University of Notre Dame,15,1480,nd.edu
University of Oklahoma,85,1245,ou.edu
University of Oregon,93,1220,uoregon.edu
University of Pennsylvania,6,1525,upenn.edu
University of Pittsburgh,67,1360,pitt.edu
University of Rochester,41,1445,rochester.edu
University of South Carolina,62,1255,sc.edu
University of Southern California,13,1475,usc.edu
University of Southern Florida,49,1240,usf.edu
University of Tennessee,75,1255,utk.edu
University of Texas Austin,29,1365,utexas.edu
University of Texas Dallas,87,1295,utdallas.edu
University of Tulsa,75,1220,utulsa.edu
University of Vermont,64,1325,uvm.edu
University of Virginia,21,1460,virginia.edu
University of Wisconsin at Madison,60,1425,wisc.edu
Vanderbilt University,7,1525,vanderbilt.edu
Villanova University,25,1420,villanova.edu
Wake Forest University,25,1425,wfu.edu
Washington University in St. Louis,13,1530,wustl.edu
William and Mary University,37,1440,wm.edu
Worcester Polytechnic Institute,60,1380,wpi.edu
Yale University,5,1530,yale.edu
Yeshiva University,62,1325,yu.edu
